2816,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,253223407,254661730,496176,495939,248085,247995,247966,248065,126610237,127331758,127476211,126670095,495616,495616,495616,495616,348913664,348913664,348913664,348913664,222162077,222113566,222179493,223315048,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,348913680,348913684,348913684,348913682,495617,495621,495616,495617,4904096312,0,0,5582618624,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,0,247808,7929856,2974687232,4603964672,89954816,872284160,174456832,0,0,174456832,247808,4903711974,156839275978,123904,87476224,0,0,0,0,0,0,0,1395654656,1982464,174456832,0,1221197824,1734656,0,0,1046740992,174456832,1694815091,1982470,0,0
3072,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,375595935,375510031,598079,598224,299060,299078,299093,299107,187638582,188097720,187216951,187339342,589824,589824,589824,589824,452984832,452984832,452984832,452984832,265551132,266313012,265864477,265664390,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,452984852,452984852,452984852,452984850,589828,589828,589824,589824,11394184540,0,0,7247757312,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,0,294912,9437184,3860987904,8292749257,116490752,1132462080,226492416,0,0,226492416,294912,11393724780,364518951366,147456,113541120,0,0,0,0,0,0,0,1811939328,2359296,226492416,0,1585446912,2064384,0,0,1358954496,226492438,4447189677,2360911,0,0
3328,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,428381420,432846725,693265,692789,346634,346435,346317,346597,214200757,216390160,218450144,213899157,692224,692224,692224,692224,575930368,575930368,575930368,575930368,359152380,361529201,359260856,357347797,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,575930384,575930384,575930384,575930384,692224,692225,692224,692224,8249559910,0,0,9214885888,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,0,346112,11075584,4907868160,7711695527,147790336,1439825920,287965184,0,0,287965184,346112,8249080024,263867146534,173056,144328704,0,0,0,0,0,0,0,2303721472,2768896,287965184,0,2015756288,2422784,0,0,1727791104,287965184,2875696499,2768900,0,0
3584,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,557537976,558822245,803055,803064,401537,401514,401539,401490,278654304,279510124,282978137,283682475,802816,802816,802816,802816,719323136,719323136,719323136,719323136,436158173,431802632,440573273,439985025,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,719323156,719323154,719323154,719323152,802816,802816,802816,802821,11785003222,0,0,11509170176,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,0,401408,12845056,6128697344,10456403434,184246784,1798307840,359661568,0,0,359661568,401408,11784436690,376994489926,200704,180232192,0,0,0,0,0,0,0,2877292544,3211264,359661568,0,2517630976,2809856,0,0,2157969408,359661568,4409156992,3211271,0,0
3840,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,665862442,680245844,923351,922679,461663,461418,461521,461502,332735539,340343237,336987679,338068543,921600,921600,921600,921600,884736000,884736000,884736000,884736000,547687012,546683010,547090922,545039656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884736016,884736018,884736212,884736016,921600,921604,921600,921600,13343595034,0,0,14155776000,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,0,460800,14745600,7536844800,12128219316,226253312,2211840000,442368000,0,0,442368000,460800,13343165010,426855578972,230400,221644800,0,0,0,0,0,0,0,3538944000,3686400,442368000,0,3096576000,3225600,0,0,2654208000,442368000,4759135523,3686403,0,0
4096,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,867974305,867500647,1048759,1048761,524391,524375,524409,524356,433834827,433879271,427806861,433972583,1048576,1048576,1048576,1048576,1073741824,1073741824,1073741824,1073741824,645817439,639256486,639937197,639564124,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1073741840,1073741840,1073741840,1073741844,1048576,1048576,1048576,1048577,17703497872,0,0,17179869184,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,0,524288,16777216,9145679872,15642748880,274203136,2684354560,536870912,0,0,536870912,524288,17702936352,566357183342,262144,268959744,0,0,0,0,0,0,0,4294967296,4194304,536870912,0,3758096384,3670016,0,0,3221225472,536870912,6610715447,4194305,0,0
4352,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,992716754,1014665495,1184867,1184201,592482,592127,592462,592477,496408564,507336527,496316611,496972759,1183744,1183744,1183744,1183744,1287913472,1287913472,1287913472,1287913472,785215676,785450146,780068515,785007962,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1287913490,1287913522,1287913492,1287913492,1183749,1183745,1183745,1183744,18918555654,0,0,20606615552,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,0,591872,18939904,10968571904,17467267099,328489472,3219783680,643956736,0,0,643956736,591872,18918041732,605221540412,295936,322570240,0,0,0,0,0,0,0,5151653888,4734976,643956736,0,4507697152,4143104,0,0,3863740416,643956736,6703089746,4734979,0,0
4608,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1337886019,1333735313,1339416,1339502,669661,669576,669640,669512,668759740,667499327,668515984,666130205,1327104,1327104,1327104,1327104,1528823808,1528823808,1528823808,1528823808,862199368,861388444,864652070,863508311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1528823824,1528823826,1528823824,1528823858,1327104,1327104,1327108,1327108,"<OVERFLOW>",0,0,24461180928,0,0,0,0,21233664,0,0,0,0,0,0,0,0,0,0,0,663552,21233664,13018890240,28290687655,389505536,3822059520,764411904,0,0,764411904,663552,"<OVERFLOW>","<OVERFLOW>",331776,382869504,0,0,0,0,0,0,0,6115295232,5308416,764411904,0,5350883328,4644864,0,0,4586471424,764411947,15450853545,5314259,0,0
4864,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1432647769,1433895852,1479758,1479832,739877,739859,739645,739657,716323793,716908918,724953617,724660018,1478656,1478656,1478656,1478656,1798045696,1798045696,1798045696,1798045696,1081658526,1082056111,1091385180,1081936841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798045712,1798045716,1798045712,1798045712,1478656,1478656,1478660,1478656,26447494778,0,0,28768731136,0,0,0,0,23658496,0,0,0,0,0,0,0,0,0,0,0,739328,23658496,15310004224,24467785887,457644544,4495114240,899022848,0,0,899022848,739328,26446608820,846110711196,369664,450250752,0,0,0,0,0,0,0,7192182784,5914624,899022848,0,6293159936,5175296,0,0,5394137088,899022848,9397141475,5914642,0,0
5120,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1770288019,1753244666,1639099,1639124,819562,819574,819574,819564,884855823,877050087,862152632,877398538,1638400,1638400,1638400,1638400,2097152000,2097152000,2097152000,2097152000,1220715337,1221744644,1222158557,1235214799,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2097152018,2097152018,2097152018,2097152020,1638401,1638400,1638404,1638401,"<OVERFLOW>",0,0,33554432000,0,0,0,0,26214400,0,0,0,0,0,0,0,0,0,0,0,819200,26214400,17855283200,33048633044,533299712,5242880000,1048576000,0,0,1048576000,819200,"<OVERFLOW>","<OVERFLOW>",409600,525107200,0,0,0,0,0,0,0,8388608000,6553600,1048576000,0,7340032000,5734400,0,0,6291456000,1048576000,14884328516,6553776,0,0
5376,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1952048029,1928448035,1807892,1808215,903939,904061,904336,904234,975866246,964406215,952286075,965406885,1806336,1806336,1806336,1806336,2427715584,2427715584,2427715584,2427715584,1460017936,1465653414,1464837174,1454652438,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2427715602,2427715604,2427715604,2427715604,1806337,1806341,1806340,1806337,"<OVERFLOW>",0,0,38843449344,0,0,0,0,28901376,0,0,0,0,0,0,0,0,0,0,0,903168,28901376,20668096512,33191533946,616864256,6069288960,1213857792,0,0,1213857792,903168,"<OVERFLOW>","<OVERFLOW>",451584,607832064,0,0,0,0,0,0,0,9710862336,7225344,1213857792,0,8497004544,6322176,0,0,7283146752,1213857792,12858057052,7225349,0,0
5632,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2268588931,2274922661,1982683,1982694,991345,991352,991360,991315,1134076589,1137654874,1136102085,1134894116,1982464,1982464,1982464,1982464,2791309312,2791309312,2791309312,2791309312,1679711646,1653467490,1682367965,1656322922,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2791309328,2791309328,2791309330,2791309328,1982464,1982465,1982464,1982469,"<OVERFLOW>",0,0,44660948992,0,0,0,0,31719424,0,0,0,0,0,0,0,0,0,0,0,991232,31719424,23761813504,41889838649,708731392,6978273280,1395654656,0,0,1395654656,991232,"<OVERFLOW>","<OVERFLOW>",495616,698818560,0,0,0,0,0,0,0,11165237248,7929856,1395654656,0,9769582592,6938624,0,0,8373927936,1395654656,17653914639,7929879,0,0
5888,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2575423206,2608767693,2167817,2167423,1083933,1083725,1083877,1083928,1287698004,1304342408,1291449743,1286138483,2166784,2166784,2166784,2166784,3189506048,3189506048,3189506048,3189506048,1897400896,1899365153,1904186119,1902725773,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3189506064,3189506066,3189506064,3189506068,2166785,2166784,2166784,2166784,"<OVERFLOW>",0,0,51032096768,0,0,0,0,34668544,0,0,0,0,0,0,0,0,0,0,0,1083392,34668544,27149803520,43766122833,809294336,7973765120,1594753024,0,0,1594753024,1083392,"<OVERFLOW>","<OVERFLOW>",541696,798459904,0,0,0,0,0,0,0,12758024192,8667136,1594753024,0,11163271168,7583744,0,0,9568518144,1594753024,16993973989,8667152,0,0
6144,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3317997537,3313249554,2388313,2387941,1194098,1194109,1194442,1194218,1658635885,1658499965,1655996283,1655690375,2359296,2359296,2359296,2359296,3623878656,3623878656,3623878656,3623878656,1965658958,1965412235,1966744481,1969541159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3623878672,3623878672,3623878674,3623878676,2359296,2359301,2359300,2359297,"<OVERFLOW>",0,0,57982058496,0,0,0,0,37748736,0,0,0,0,0,0,0,0,0,0,0,1179648,37748736,30845435904,70809596773,918946304,9059696640,1811939328,0,0,1811939328,1179648,"<OVERFLOW>","<OVERFLOW>",589824,907149312,0,0,0,0,0,0,0,14495514624,9437184,1811939328,0,12683575296,8257536,0,0,10871635968,1811939332,"<OVERFLOW>",9466997,0,0
6400,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3359752303,3360757761,2561634,2561684,1280832,1280885,1280858,1280624,1679902396,1680413605,1678419153,1699354193,2560000,2560000,2560000,2560000,4096000000,4096000000,4096000000,4096000000,2415740630,2416702915,2413885830,2397756972,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4096000020,4096000020,4096000020,4096000018,2560004,2560000,2560001,2560005,"<OVERFLOW>",0,0,65536000000,0,0,0,0,40960000,0,0,0,0,0,0,0,0,0,0,0,1280000,40960000,34862080000,56235920570,1038080512,10240000000,2048000000,0,0,2048000000,1280000,"<OVERFLOW>","<OVERFLOW>",640000,1025280000,0,0,0,0,0,0,0,16384000000,10240000,2048000000,0,14336000000,8960000,0,0,12288000000,2048000000,21934712027,10240020,0,0
6656,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3797201962,3783578293,2769183,2769210,1384621,1384576,1384583,1384595,1898341181,1892024487,1932953469,1851615345,2768896,2768896,2768896,2768896,4607442944,4607442944,4607442944,4607442944,2717085868,2707957648,2756478848,2707288476,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4607442960,4607442994,4607442962,4607442960,2768896,2768901,2768896,2768897,"<OVERFLOW>",0,0,73719087104,0,0,0,0,44302336,0,0,0,0,0,0,0,0,0,0,0,1384448,44302336,39213105152,69234486587,1167090176,11518607360,2303721472,0,0,2303721472,1384448,"<OVERFLOW>","<OVERFLOW>",692224,1153245184,0,0,0,0,0,0,0,18429771776,11075584,2303721472,0,16126050304,9691136,0,0,13822328832,2303721472,31305064222,11075697,0,0
6912,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4144712189,4254104255,2990232,2988958,1495143,1494434,1494445,1495202,2072192713,2127588587,2126748161,2069717152,2985984,2985984,2985984,2985984,5159780352,5159780352,5159780352,5159780352,3032020161,3057105906,3059919718,3059694418,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5159780368,5159780368,5159780372,5159780372,2985984,2985984,2985988,2985985,"<OVERFLOW>",0,0,82556485632,0,0,0,0,47775744,0,0,0,0,0,0,0,0,0,0,0,1492992,47775744,43911880704,71378837860,1306368512,12899450880,2579890176,0,0,2579890176,1492992,"<OVERFLOW>","<OVERFLOW>",746496,1291438080,0,0,0,0,0,0,0,20639121408,11943936,2579890176,0,18059231232,10450944,0,0,15479341056,2579890176,28453096846,11943948,0,0
7168,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4785511802,4792980465,3211656,3211646,1605858,1605843,1605824,1605795,2392457500,2396728273,2396584961,2435296506,3211264,3211264,3211264,3211264,5754585088,5754585088,5754585088,5754585088,3403754635,3361421991,3319871637,3461617360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5754585108,5754585136,5754585104,5754585106,3211268,3211264,3211264,3211265,"<OVERFLOW>",0,0,92073361408,0,0,0,0,51380224,0,0,0,0,0,0,0,0,0,0,0,1605632,51380224,48971776000,90898809073,1456308736,14386462720,2877292544,0,0,2877292544,1605632,"<OVERFLOW>","<OVERFLOW>",802816,1440251904,0,0,0,0,0,0,0,23018340352,12845056,2877292544,0,20141047808,11239424,0,0,17263755264,2877292544,"<OVERFLOW>",12845219,0,0
7424,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,5347655843,5351835134,3446034,3446129,1723001,1723039,1722772,1722874,2673813682,2675886059,2702582083,2706529201,3444736,3444736,3444736,3444736,6393430016,6393430016,6393430016,6393430016,3752035542,3723679745,3722919601,3718239159,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6393430034,6393430032,6393430064,6393430032,3444740,3444736,3444740,3444737,"<OVERFLOW>",0,0,102294880256,0,0,0,0,55115776,0,0,0,0,0,0,0,0,0,0,0,1722368,55115776,54406160384,87834988886,1617304064,15983575040,3196715008,0,0,3196715008,1722368,"<OVERFLOW>","<OVERFLOW>",861184,1600079872,0,0,0,0,0,0,0,25573720064,13778944,3196715008,0,22377005056,12056576,0,0,19180290048,3196715008,"<OVERFLOW>",13778977,0,0
7680,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,6600641554,6601664909,3716168,3716742,1858218,1858282,1858326,1858384,3300075192,3300849163,3296004786,3294454664,3686400,3686400,3686400,3686400,7077888000,7077888000,7077888000,7077888000,3784633724,3781931873,3782337284,3779113648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7077888020,7077888016,7077888018,7077888020,3686400,3686400,3686400,3686401,"<OVERFLOW>",0,0,113246208000,0,0,0,0,58982400,0,0,0,0,0,0,0,0,0,0,0,1843200,58982400,60228403200,"<OVERFLOW>",1789747712,17694720000,3538944000,0,0,3538944000,1843200,"<OVERFLOW>","<OVERFLOW>",921600,1771315200,0,0,0,0,0,0,0,28311552000,14745600,3538944000,0,24772608000,12902400,0,0,21233664000,3538944064,"<OVERFLOW>",14826965,0,0
7936,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,6464370526,6545965734,3938156,3937586,1969093,1968778,1968800,1969127,3232256277,3272902823,3272659406,3227936914,3936256,3936256,3936256,3936256,7809531904,7809531904,7809531904,7809531904,4536117595,4575763100,4534934766,4535709621,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7809531920,7809531922,7809531924,7809531920,3936257,3936256,3936256,3936261,"<OVERFLOW>",0,0,124952510464,0,0,0,0,62980096,0,0,0,0,0,0,0,0,0,0,0,1968128,62980096,66451873792,107889857408,1974032896,19523829760,3904765952,0,0,3904765952,1968128,"<OVERFLOW>","<OVERFLOW>",984064,1954351104,0,0,0,0,0,0,0,31238127616,15745024,3904765952,0,27333361664,13776896,0,0,23428595712,3904765952,"<OVERFLOW>",15745067,0,0
8192,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,7164792158,7159568657,4194525,4194579,2097291,2097246,2097328,2097241,3582102461,3580055633,3503785517,3641506584,4194304,4194304,4194304,4194304,8589934592,8589934592,8589934592,8589934592,5150922110,4945668019,5000465461,5078271565,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8589934608,8589934608,8589934608,8589934608,4194304,4194308,4194304,4194304,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,0,2097152,67108864,73089941504,131086171500,2170552832,21474836480,4294967296,0,0,4294967296,2097152,"<OVERFLOW>","<OVERFLOW>",1048576,2149580800,0,0,0,0,0,0,0,"<OVERFLOW>",16777216,4294967296,0,30064771072,14680064,0,0,25769803776,4294967296,"<OVERFLOW>",16777219,0,0
